molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,290.0,active
CHEMBL518800,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,840.0,active
CHEMBL596674,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,580.0,active
CHEMBL270299,CC(C)(C)c1ccc(S(=O)(=O)/C=C/C#N)cc1,840.0,active
CHEMBL4303312,Oc1c(I)cc(I)c(O)c1I,330.0,active
CHEMBL188434,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,2070.0,intermediate
CHEMBL4303618,CCc1ccc(/C=C/C(=O)Nc2ccc(C(C)=O)cc2)o1,4950.0,intermediate
CHEMBL128251,O=C(O)CCCCCCCCCCCCCCc1ccc(I)cc1,2250.0,intermediate
CHEMBL4303361,Oc1cc(CNC(=S)/C=C/c2cc(O)c(O)c(Br)c2)cc(O)c1O,480.0,active
CHEMBL4303622,N#CSc1cc(SC#N)c(N)nc1N,410.0,active
CHEMBL111654,Sc1nc2ccccc2s1,1740.0,intermediate
CHEMBL9116,CNC(=O)ON(C(C)=O)C(=O)NC,1330.0,intermediate
CHEMBL1591074,c1ccc2sc(SNC3CCCCC3)nc2c1,770.0,active
CHEMBL329522,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,4380.0,intermediate
CHEMBL465704,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,830.0,active
CHEMBL2107818,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(CO)=N/NC(=O)CCCCCN1C(=O)C=CC1=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,580.0,active
CHEMBL8260,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,20.0,active
CHEMBL2354521,COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1.Cl,2350.0,intermediate
CHEMBL508280,O=[N+]([O-])c1cnc(Sc2nnc(O)n2-c2ccc3c(c2)OCCO3)s1,300.0,active
CHEMBL3187985,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl.O,520.0,active
CHEMBL477197,Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2,220.0,active
CHEMBL1449651,N.S=C(S)N1CCCC1,210.0,active
CHEMBL1201073,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,1720.0,intermediate
CHEMBL376488,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,4360.0,intermediate
CHEMBL154580,C=CC(=O)c1ccc2ccccc2c1,1240.0,intermediate
