,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2149,CHEMBL5441594,CNC(=O)c1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,active,427.53000000000026,2.8466000000000014,3.0,6.0,6.787812395596042
2150,CHEMBL5441434,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,active,443.47100000000023,2.76518,3.0,9.0,6.892790030352131
2151,CHEMBL5441391,Cn1ncc(-c2cc3c(N[C@@H](c4ccc5c(n4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,active,444.4990000000002,3.5955800000000018,2.0,9.0,7.337242168318426
2152,CHEMBL5441422,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,active,448.4870000000003,2.2821,3.0,9.0,6.616184634019569
2153,CHEMBL5441418,CC(C)[C@@H](Nc1ncnc2[nH]cc(C(=O)NC3CC3)c12)c1ccc2c(c1)S(=O)(=O)CCC2,active,453.5680000000003,3.3792000000000018,3.0,6.0,6.585026652029182
2154,CHEMBL5441427,CC(C)(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,active,462.5140000000003,2.6722,3.0,9.0,7.086186147616283
2156,CHEMBL5441810,COCCNC(=O)c1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,active,471.5830000000003,2.863200000000001,3.0,7.0,6.486782399932061
2157,CHEMBL5441435,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,active,475.5780000000003,3.7591800000000024,2.0,8.0,7.6020599913279625
2161,CHEMBL5442045,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCCC3CN(C)C3)cc12)c1ccc2c(c1)OCCO2,active,464.57000000000033,3.219800000000002,3.0,7.0,6.048662481204082
2162,CHEMBL5441757,CNc1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)c12,inactive,353.4260000000002,3.580000000000002,3.0,6.0,4.538786694538865
2163,CHEMBL5442043,CC(C)[C@@H](c1ccc2c(c1)OCCO2)N(C)c1ncnc2[nH]c(Br)cc12,inactive,417.307,4.3251000000000035,1.0,5.0,4.002176919254275
2164,CHEMBL5442072,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NC3COC3)cc12)c1ccc2c(c1)OCCO2,active,423.4730000000003,2.6669,3.0,7.0,6.129011186239425
2165,CHEMBL5441718,CC(C)[C@@H](c1ccc2c(c1)OCCO2)N(C)c1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12,inactive,461.5260000000002,2.9114000000000004,2.0,8.0,4.697582480849378
2166,CHEMBL5441670,CC(C)[C@@H](Nc1ccnc2[nH]ncc12)c1ccc2c(c1)S(=O)(=O)CCC2,inactive,370.4780000000002,3.487000000000002,2.0,5.0,4.002176919254275
2167,CHEMBL5441433,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,active,521.6470000000003,3.4387000000000016,2.0,8.0,7.4089353929735005
2168,CHEMBL5442067,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)O)cc12)c1ccc2c(c1)OCCO2,inactive,368.3930000000002,3.2365000000000013,3.0,6.0,4.933338697699323
2170,CHEMBL5441417,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,active,370.4780000000002,3.487000000000002,2.0,5.0,7.031517051446065
2171,CHEMBL5441420,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,active,450.5680000000003,3.887500000000003,2.0,7.0,7.443697499232712
2172,CHEMBL5441429,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,active,493.59300000000036,2.8358000000000008,3.0,8.0,7.4089353929735005
2173,CHEMBL5441736,Cc1cnn(C)c1NC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,inactive,461.5260000000003,3.8325200000000015,3.0,8.0,4.564346714673581
2176,CHEMBL5441430,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,active,427.53000000000026,2.8466000000000005,3.0,6.0,7.2839966563652006
2179,CHEMBL5441754,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NC[C@@H]3CCOC3)cc12)c1ccc2c(c1)OCCO2,active,451.5270000000003,3.3046000000000015,3.0,7.0,6.236572006437063
2182,CHEMBL5442125,COc1cn[nH]c1NC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,inactive,463.4980000000003,3.5223000000000013,4.0,8.0,4.139332653555863
2183,CHEMBL5441771,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCCC(F)F)cc12)c1ccc2c(c1)OCCO2,active,445.47000000000025,3.923300000000002,3.0,6.0,6.07727454200674
2184,CHEMBL5441892,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCc3cnco3)cc12)c1ccc2c(c1)OCCO2,active,448.4830000000003,3.4563000000000024,3.0,8.0,6.1944991418416
2190,CHEMBL5441950,CC(=O)N1CC(NC(=O)c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)C1,active,464.5260000000003,2.4988,3.0,7.0,6.100726812682396
2191,CHEMBL5441626,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCCc3cnco3)cc12)c1ccc2c(c1)OCCO2,active,462.5100000000003,3.498800000000002,3.0,8.0,6.020451625295905
2196,CHEMBL5441946,COc1nc(NC(=O)c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)n[nH]1,inactive,464.4860000000002,2.9173,4.0,9.0,4.32644462188446
2197,CHEMBL5441518,Cc1ncn(C)c1NC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,inactive,461.52600000000024,3.8325200000000015,3.0,8.0,4.9691979512277324
2198,CHEMBL5441531,CC(C)[C@@H](Nc1ccnc2nn[nH]c12)c1ccc2c(c1)S(=O)(=O)CCC2,inactive,371.4660000000002,2.8820000000000014,2.0,6.0,4.002176919254275
2200,CHEMBL5441727,CC(C)[C@@H](Nc1n[nH]c2ncccc12)c1ccc2c(c1)S(=O)(=O)CCC2,inactive,370.4780000000002,3.487000000000002,2.0,5.0,4.361091626534814
2201,CHEMBL5441390,CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,active,441.55700000000024,3.2367000000000017,3.0,6.0,7.251811972993799
2203,CHEMBL5441868,O=C1NCCc2ccc(CNc3ncnc4[nH]ccc34)cc21,inactive,293.33000000000004,1.8558999999999997,3.0,4.0,4.002176919254275
2204,CHEMBL5441532,CC(C)[C@@H](Nc1ccnc2nccn12)c1ccc2c(c1)S(=O)(=O)CCC2,inactive,370.4780000000002,3.2584000000000017,1.0,6.0,4.002176919254275
2205,CHEMBL5442000,CC(C)[C@@H](Nc1cnc2[nH]cnc2c1)c1ccc2c(c1)S(=O)(=O)CCC2,inactive,370.4780000000002,3.487000000000002,2.0,5.0,4.002176919254275
2207,CHEMBL5441490,CC(C)[C@@H](Nc1ncnc2n[nH]cc12)c1ccc2c(c1)S(=O)(=O)CCC2,active,371.4660000000002,2.8820000000000014,2.0,6.0,6.027334407733889
2208,CHEMBL5441546,CC(C)[C@@H](Nc1ncnc2[nH]c([C@@]3(O)CCCNC3)cc12)c1ccc2c(c1)OCCO2,inactive,423.5170000000003,3.109300000000001,4.0,7.0,4.748507785430421
2209,CHEMBL5441415,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,inactive,430.47200000000026,3.2054800000000014,2.0,9.0,4.714375189324048
2211,CHEMBL5441731,O=C(O)CC(NC(=O)c1ncnc2[nH]ccc12)c1ccc(NC2C[C@H]3CC(CO)C[C@@H]23)cc1,inactive,449.51100000000025,2.722600000000001,5.0,6.0,4.002176919254275
2212,CHEMBL5441513,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)Nc3cn(C)nc3O)cc12)c1ccc2c(c1)OCCO2,active,463.49800000000033,3.229700000000001,4.0,9.0,6.168770306132936
2213,CHEMBL5441413,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,active,507.6200000000003,3.0965000000000007,3.0,8.0,7.455931955649724
2214,CHEMBL5441495,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCc3ccno3)cc12)c1ccc2c(c1)OCCO2,active,448.4830000000003,3.4563000000000024,3.0,8.0,6.101274818410507
2215,CHEMBL5441627,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@H]3[C@@H]4COC[C@@H]43)cc12)c1ccc2c(c1)OCCO2,active,449.5110000000003,2.9129000000000005,3.0,7.0,6.201349354554731
2216,CHEMBL5441755,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCC3CN(C)C3)cc12)c1ccc2c(c1)OCCO2,active,450.5430000000003,2.8297000000000008,3.0,7.0,6.062482107982653
2217,CHEMBL5442032,Cc1ncc(CNC(=O)c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)o1,active,462.5100000000003,3.7647200000000023,3.0,8.0,6.158015195409886
2221,CHEMBL5441846,CC(C)[C@@H](Nc1nccc2[nH]c(=O)[nH]c12)c1ccc2c(c1)S(=O)(=O)CCC2,inactive,386.4770000000002,2.7803000000000013,3.0,5.0,4.002176919254275
2223,CHEMBL5442070,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCc3ccn(C)n3)cc12)c1ccc2c(c1)OCCO2,active,461.5260000000003,3.2018000000000013,3.0,8.0,6.019996628416254
2224,CHEMBL5441923,COc1ccc([C@@H](NC(=O)c2[nH]cnc3nccc2-3)C(C)c2nnn[nH]2)cc1,active,378.3960000000001,1.7060000000000002,3.0,7.0,6.198596289982645
2225,CHEMBL5441401,CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,active,479.6060000000003,4.466400000000004,3.0,7.0,7.6020599913279625
2226,CHEMBL5442057,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@@H]3CCN(C)C3)cc12)c1ccc2c(c1)OCCO2,active,450.5430000000003,2.972200000000001,3.0,7.0,6.382999658879101
2227,CHEMBL5441610,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1cccc(S(C)(=O)=O)c1,inactive,344.4400000000001,3.170600000000002,2.0,5.0,4.0158463856482305
2229,CHEMBL5441872,COc1ccc([C@@H](NC(=O)c2ncnc3[nH]ccc23)C(C)(C)C#N)cc1,inactive,349.3940000000001,2.9873800000000017,2.0,5.0,4.002176919254275
2230,CHEMBL5441735,CNc1nccc(N[C@@H](c2ccc3c(c2)S(=O)(=O)CCC3)C(C)C)n1,inactive,360.4830000000002,3.0474000000000014,2.0,6.0,4.002176919254275
